feature_name,importances
organization_type_Trade: type 7,0.004284697
ratio_debt_age,0.004301162
have_amt_credit_sum_overdue_sum,0.004324388
bureau_amt_credit_sum_limit_short_limit_loan_2,0.0043251007
bureau_days_credit_enddate_loan_2,0.004326009
amt_credit,0.0043442827
bureau_completetitud_ratio_loan_1,0.0043453276
ext_1_x_2,0.0043683266
amt_credit_sum_debt_sum,0.004388577
balance_is_delincuency_mean_mean,0.004390799
organization_type_Military,0.0043937694
organization_type_Transport: type 3,0.004423044
amt_req_credit_breau_day,0.0044331984
ext_1_x_3,0.0044611725
organization_type_Restaurant,0.00447062
organization_type_Self-employed,0.0045114965
flag_own_car,0.0045247744
amt_credit_sum_debt_mean,0.004533354
days_credit_mean,0.004552067
balance_months_balance_min_min,0.00457418
amt_credit_sum_max,0.004616903
bureau_amt_credit_max_overdue_loan_2,0.0046592364
credit_active_active_sum,0.0047331257
amt_credit_sum_mean,0.004786724
bureau_amt_credit_max_overdue_loan_1,0.004887635
education_type_Incomplete higher,0.004889456
flag_document_8,0.0049286974
amt_req_credit_breau_qrt,0.0049708476
credit_active_active_mean,0.00502604
occupation_type,0.0050947
ratio_days_employed_days_lived,0.0051155942
bureau_credit_type_loan_1,0.0051749055
bureau_credit_type_loan_2,0.0053277607
bureau_amt_credit_sum_limit_short_limit_loan_1,0.00539373
bureau_balance_status_score_std_loan_2,0.0054120407
ext_source_3,0.005438131
family_status,0.0055149407
days_birth,0.005584723
bureau_flag_have_credit_day_overdue_loan_1,0.0056467243
flag_own_realty,0.0056483992
ext_source_1,0.0059804358
documents_count,0.006035159
occupation_type_is_missing,0.0061147725
flag_not_live_city,0.006320501
amt_annuity,0.0063263853
name_income_type,0.0063996264
kui_ratio,0.0064084
name_contract_type,0.0066887774
completetitud_ratio_mean,0.006698694
days_enddate_fact_is_missing_sum,0.006828725
amt_goods_price,0.0068291337
own_car_age,0.0069036386
region_raiting_client_city,0.007254224
def_30_cnt_social_circle,0.007277529
ext_2_x_3,0.0077646133
education_type_Secondary / secondary special,0.0091711255
credit_duration,0.009226038
bureau_amt_credit_sum_debt_is_missing_loan_1,0.009427719
completetitud_ratio_min,0.009723796
bureau_amt_credit_sum_debt_is_missing_loan_2,0.010094381
ratio_good_credit,0.010116561
credit_active_closed_mean,0.010931356
flag_document_3,0.011792708
code_gender,0.012637261
education_type_Higher education,0.015397266
ext_source_mean,0.08535502
