feature,importance_fold_1,importance_fold_2,importance_fold_3,importance_fold_4,importance_fold_5,mean_importance_cv
bureau_balance_status_0_mean_loan_2,6.689324188968726e-05,0.0002134914464795079,4.305915871329891e-05,0.00016802803809774504,-2.539257477462975e-06,9.778652554055522e-05
amt_annuity_max,-3.470870035005014e-05,3.323410340330124e-05,0.00024705208817079607,2.9379524114436785e-05,0.00021814199168017633,9.861980140373206e-05
organization_type_Transport: type 3,0.00027353095304427644,0.00021663727709060333,-4.65697129642173e-05,2.945268296628001e-06,5.255484853252668e-05,9.981972679996341e-05
amt_annuity_is_missing_sum,-0.00011399933414024677,5.953453205389536e-05,-6.273924661857056e-05,0.0003451459742666474,0.0002884862770159202,0.00010328564051552912
amt_credit_sum_limit_is_zero_sum,6.940383954705532e-05,0.0003814920053988313,-2.169998594954148e-05,0.00013333682449754303,-2.8731730481612593e-05,0.0001067601906024551
amt_req_credit_breau_day,0.00023615320367085247,-6.940062769507094e-05,0.00029136886538365657,3.256817941954537e-06,8.589750508849469e-05,0.00010945515287797748
amt_credit_sum_debt_is_negative_sum,0.00012176559230943073,1.2008044061961876e-05,0.00010113301184579981,8.199073071646357e-05,0.00024097996063972006,0.00011157546791467519
amt_credit_sum_limit_is_missing_mean,-4.45655173077153e-05,9.692120323849807e-05,0.00016599814762507936,0.00027514330275526524,7.600282466511122e-05,0.00011389999219524772
name_type_suite,0.00012627824438868896,0.00022301066210324018,0.0001630261138950706,8.825098716367386e-05,-7.128767267250425e-06,0.00011868744805668463
building_score_std,-0.0004397714170601308,0.00022628603741234877,0.0003495968874128286,-0.0001337183211422177,0.0005986676072698316,0.0001202121587785321
weekday_appr_process_start,-1.9327497928700587e-05,-1.1038421626174966e-05,-0.0001527663879457908,0.0005748305079818827,0.00020971040043309407,0.00012028172018286207
building_score_mean,8.155641694969073e-05,-0.00032525604536304265,0.0001453837676561376,0.0005490004372151524,0.0001639413016760516,0.00012292517562679796
bureau_days_credit_enddate_third_positive_cluster_loan_2,-5.714955349755968e-06,0.00011946091005334835,0.00031388394799984897,6.940098456758026e-05,0.00012380432883072335,0.000124167043220349
has_bureau_balance_data_sum,0.0003640295228725776,3.56094464036838e-05,0.00018147213688228802,8.434323388033516e-05,5.4761439721939805e-06,0.00013418609680221572
housing_type,0.00021702591118426539,-0.00014288244868230216,0.0006297638835899066,-0.00010090140162828387,8.413887118470242e-05,0.00013742896312965766
